Problem,J/I/I,1/I,ExpVar
20,6.188858578,6.207058872,6.249054807
21,4.923295296,4.936961445,4.876999935
22,4.944742246,4.933672186,4.949712588
23,5.502777069,5.497913621,5.555374981
24,5.38160695,5.391812094,5.391143491
25,5.097557613,5.084068164,5.10249014
26,10.30241823,10.32967908,10.4665671
27,5.603746447,5.60043144,5.598557315
28,5.87294017,5.891908375,5.872418518
29,5.426010815,5.422451002,5.325181877
30,6.482688892,6.516310948,6.477391115
31,22.7184395,22.66643462,22.90015257
32,7.323275705,7.25055948,7.297962502
33,6.412331778,6.378087009,6.390437476
34,9.241854847,9.155153717,9.241727303
35,6.27214812,6.299176169,6.296092029
36,5.447177784,5.432659849,5.382028264
37,8.0240308,8.067880777,7.99229844
38,5.85328774,5.873006636,5.901159994
39,15.12098338,15.15642211,15.2490941
40,9.246606433,9.255212321,9.325598055
41,4.677389753,4.686845832,4.656686406
42,6.947345658,6.871410998,6.923786028
43,6.48320814,6.468706,6.443447871
44,5.804365389,5.803592921,5.833954575
45,5.691771588,5.677016955,5.660621423
46,7.385764193,7.387382497,7.446185841
47,5.46716976,5.440499332,5.441614516
48,5.142140096,5.147020112,5.082824733
49,5.853818498,5.874139447,5.894772636
