Problem,Dim,J/I/I,1/I,ExpVar
30,0,8.989984924,8.892882511,8.878765878
30,1,8.714806473,8.719920243,8.657716916
30,2,10.8076674,10.89750014,10.68168783
31,0,10.94684484,10.79527282,10.85232894
31,1,13.74935458,13.81510326,13.74473187
31,2,11.82563933,12.00337153,11.74714681
32,0,6.975697353,6.951171265,6.918323706
32,1,10.07290863,10.11083495,9.976551856
32,2,7.544160163,7.506556428,7.431250765
33,0,11.73306442,11.53359401,11.67826901
33,1,11.77894769,11.93438828,11.6842267
33,2,11.66827024,11.84930924,11.6333526
34,0,6.783934516,6.747165025,6.734730949
34,1,8.91025348,8.806831844,8.587797769
34,2,7.538990028,7.446743271,7.434878411
35,0,8.052326278,8.024838453,7.975258254
35,1,7.356248754,7.346302433,7.281096881
35,2,8.311021732,8.404538583,8.25023413
36,0,6.80819641,6.817072106,6.931645174
36,1,9.236571011,9.287223505,9.371712335
36,2,7.337209348,7.303474977,7.311730948
37,0,8.132712812,8.347241878,8.269121367
37,1,8.182292748,8.269542568,8.260018166
37,2,9.444674559,9.387661288,9.34973164
38,0,126.1935811,121.0073792,117.9343341
38,1,160.8449963,147.8259376,145.5422797
38,2,52.83030338,51.28810285,52.44235928
39,0,7.589657596,7.696672742,7.574262034
39,1,7.646556065,7.676794651,7.629713175
39,2,7.149572395,7.160177911,7.135846385
40,0,7.386243335,7.336901988,7.227753847
40,1,8.057861679,7.775856134,8.098930357
40,2,8.651505665,8.579552963,8.600215204
41,0,8.960756467,8.987600467,8.986343238
41,1,6.939869285,6.882104751,6.940878132
41,2,6.904459829,6.888302799,6.777332383
42,0,9.674409423,9.243910504,9.766553651
42,1,9.897255855,9.386187404,9.75840108
42,2,9.643263121,9.259827657,9.308819265
43,0,7.308604818,7.45746412,7.303872959
43,1,7.432444765,7.427303292,7.404410512
43,2,9.225259818,9.179013667,8.958925943
44,0,13.11696281,13.09269263,12.98238117
44,1,7.841765105,7.823638755,7.868836083
44,2,8.335553722,8.267542698,8.248298872
45,0,7.07613696,7.117342684,6.966739515
45,1,9.187797537,9.154489563,9.099479057
45,2,7.236039745,7.253037487,7.165142616
46,0,9.108884721,9.19301097,9.101795634
46,1,10.44189656,10.64628704,10.47528471
46,2,10.28339981,10.28055126,10.29791974
47,0,9.175937996,9.392309064,9.295930763
47,1,9.148474177,8.968216061,9.145548186
47,2,10.52154525,10.65487137,10.50546791
48,0,7.033981883,7.036316545,7.000898895
48,1,7.41255025,7.371930393,7.361343107
48,2,8.917704146,8.898514966,8.958601877
49,0,11.51611822,11.36175548,11.25051822
49,1,9.683611538,9.925171679,9.586783769
49,2,9.682435256,9.646823547,9.457254085
