Problem,J/I/I,1/I,ExpVar
30,7.739135719,7.677722931,7.595693521
31,8.654433857,8.581996662,8.657475771
32,5.071046175,5.070880355,5.134997054
33,7.383156075,7.377642963,7.359768799
34,5.60311576,5.589472311,5.616081553
35,29.31189321,28.96251911,28.74431309
36,7.132655173,7.096491591,7.060579081
37,5.528822391,5.536213038,5.527335656
38,6.509605451,6.514206548,6.570436533
39,11.1876704,11.12053928,11.16792704
40,6.880152188,6.903118618,6.980335546
41,5.841501892,5.845834364,5.831604613
42,12.64378255,12.42409762,12.38337201
43,4.921181134,4.926428123,5.023814309
44,4.845907486,4.839260903,4.875044798
45,7.066713569,7.087363431,7.030577509
46,7.908845956,7.894153111,8.032500665
47,5.572747091,5.587904548,5.635259626
48,5.093920064,5.092389592,5.153208974
49,6.021611763,6.035451671,5.95789996
