Problem,J/I/I,1/I,ExpVar
30,43.45441731,42.7780886,43.76890824
31,4.833157772,4.832750597,4.86466152
32,5.745037819,5.728792207,5.689476996
33,21.42036493,21.23661067,21.37195285
34,5.158352784,5.151951717,5.222149458
35,5.218021896,5.225655317,5.284338555
36,14.19664005,14.35455791,14.26280971
37,10.67155035,10.81889174,10.82053784
38,8.845513649,8.80107428,8.673448549
39,5.793494389,5.774381293,5.808382421
40,5.144667968,5.16825428,5.151155279
41,5.051814286,5.039358769,5.074778844
42,7.763646899,7.752212008,7.745954432
43,6.293577651,6.24669047,6.261609377
44,5.882476102,5.869992629,5.998785538
45,5.223732647,5.224837561,5.240466664
46,4.881352136,4.874494015,4.79006778
47,5.409955392,5.420850809,5.369891312
48,6.724950335,6.704400554,6.684022687
49,9.87166025,9.847584739,9.846633373
