Problem,Dim,J/I/I,1/I,ExpVar
30,0,10.12967835,10.12190249,9.996624505
30,1,12.79440707,12.66982552,12.84691596
30,2,11.7031342,11.26307778,11.66149769
31,0,10.94868378,11.33612584,10.77855907
31,1,11.81409966,11.63655364,11.80552043
31,2,12.58790871,12.86708713,12.63050172
32,0,6.755558306,6.697653596,6.628765466
32,1,6.947761197,6.910993814,6.952547922
32,2,11.48834309,11.55692212,11.38761845
33,0,12.46813268,12.32964238,12.3567362
33,1,9.99691368,9.723685348,10.17235575
33,2,11.59632469,11.85277678,11.33711738
34,0,8.981333876,9.165901005,8.990263946
34,1,8.399682001,8.605148092,8.638332392
34,2,8.386318854,8.314688328,8.123122085
35,0,36.99837715,36.09680495,36.10937679
35,1,24.53128376,23.99091982,24.45709544
35,2,39.36752872,39.55978113,38.12466195
36,0,10.57897329,10.80781377,10.51701655
36,1,10.25726072,10.68009713,10.27978333
36,2,10.73966631,10.49214688,10.56626199
37,0,10.63947022,10.75288201,10.67920283
37,1,7.548641326,7.571523547,7.641043184
37,2,8.224864093,8.340911167,8.215555288
38,0,8.423768134,8.335711496,8.394952262
38,1,11.82470601,11.72515787,11.97280884
38,2,9.705085784,9.815255054,9.655678898
39,0,13.00153976,12.82905037,13.12878188
39,1,15.35475699,14.73311206,15.53016521
39,2,16.86709307,16.39748957,16.47240696
40,0,8.905071597,9.041465017,8.908285262
40,1,10.57383121,10.59547274,10.80770946
40,2,10.33346188,10.19767758,10.24432346
41,0,7.503535449,7.565368784,7.565357449
41,1,8.207050307,8.379109422,8.200825616
41,2,10.97631573,11.03952905,10.84642905
42,0,14.87792707,14.9005698,14.63222646
42,1,16.57586833,16.54777612,16.07922916
42,2,16.31427377,16.52755735,15.84540706
43,0,7.594635364,7.617896037,7.718661655
43,1,6.847571789,6.79188869,6.870192191
43,2,8.321623743,8.299192471,8.262681802
44,0,7.229003749,7.36377747,7.265394433
44,1,6.526330137,6.543015195,6.636089703
44,2,8.016248333,8.014038304,7.857624621
45,0,9.266594068,8.964789512,9.452317178
45,1,9.646102923,9.196112743,9.755830028
45,2,10.65801454,10.42638677,10.68362807
46,0,10.22770501,10.08079221,10.27081439
46,1,10.86543227,11.11249687,10.8864821
46,2,12.41717369,12.59089702,12.08032089
47,0,7.834940948,7.949227966,7.848923517
47,1,7.385443537,7.582791401,7.519207735
47,2,8.930258336,9.170261707,8.99285446
48,0,7.810544176,7.918561909,7.829530748
48,1,7.434130193,7.59254383,7.583780091
48,2,7.933588683,7.956954176,7.852652249
49,0,7.950662495,7.896854065,8.008077696
49,1,13.44433733,13.47819136,13.69823923
49,2,9.595474807,9.392649928,9.567530825
