Problem,Dim,J/I/I,1/I,ExpVar
20,0,10.82105632,10.49064325,10.8493206
21,0,7.387201119,7.56934885,7.296680363
22,0,7.869886181,7.724703685,7.859686969
23,0,7.4529618,7.519837907,7.47470531
24,0,8.171094989,8.069515819,8.086405591
25,0,6.711127489,6.646811119,6.606719161
26,0,7.994616908,7.938645563,7.921028788
27,0,9.652319784,9.572554599,9.566587846
28,0,11.27073507,11.18612287,11.32486548
29,0,7.384019493,7.385876308,7.372750569
30,0,11.36307434,10.97069692,11.33444829
31,0,11.74607476,11.04268515,11.62097478
32,0,7.663361491,7.661801682,7.658682919
33,0,10.92120713,10.92674592,11.05600688
34,0,9.931086535,9.986492715,9.863929112
35,0,9.505910598,9.425363298,9.535336213
36,0,10.60087649,10.75070824,10.80160711
37,0,8.047036029,7.748663578,8.060424343
38,0,6.63057301,6.622357233,6.635285904
39,0,9.166618241,9.269187441,9.271842241
40,0,11.32339601,10.66520906,11.39211675
41,0,8.167774562,8.143038735,8.079854839
42,0,12.49539501,12.33060357,12.46135504
43,0,6.965802066,6.999363399,7.063433114
44,0,7.778195782,7.729638843,7.770591347
45,0,10.7803274,10.5661305,10.75129332
46,0,9.908937691,10.03612524,9.947708896
47,0,10.76873476,10.48073648,10.60186477
48,0,10.67865455,10.69658454,10.80519168
49,0,9.257811198,9.287440337,9.41834081
20,1,10.30576459,10.01401235,10.110274
21,1,10.36727938,10.2666616,10.32704713
22,1,7.498204723,7.468176581,7.440427552
23,1,7.611915252,7.754848111,7.674778616
24,1,6.502662074,6.501081399,6.413204538
25,1,8.863807973,8.911925148,8.949057429
26,1,7.42541519,7.333434551,7.396262199
27,1,8.955325956,8.675384656,9.089761627
28,1,11.14588364,11.57358191,11.01677435
29,1,9.334798763,9.28693239,9.21907188
30,1,11.6068164,11.58565614,11.7969331
31,1,11.03672729,10.64055777,10.98093213
32,1,6.85233892,6.752293335,6.694611231
33,1,8.353615534,8.48476243,8.276438801
34,1,9.646472335,9.539625451,9.658436567
35,1,10.19892709,9.598967945,10.03713616
36,1,10.80940398,11.07912026,10.96862756
37,1,9.594866411,9.690706005,9.694141725
38,1,8.965101739,8.887843846,8.789460168
39,1,8.42219878,8.463302203,8.440154577
40,1,10.63500447,10.43090496,10.47680815
41,1,6.576301293,6.729394322,6.629419298
42,1,14.84939227,14.85919327,14.69746127
43,1,10.92586243,10.90674427,10.86126557
44,1,6.881186316,6.879299715,6.775800536
45,1,11.15239475,11.30878513,10.96974006
46,1,8.611306303,8.730823345,8.5664667
47,1,9.848359904,9.577171157,9.956266305
48,1,9.364737448,9.41152497,9.527418403
49,1,7.849340676,7.804396583,7.990437361
