Problem,Dim,J/I/I,1/I,ExpVar
20,0,11.26818301,11.27526977,11.40628299
21,0,6.259324011,6.293781094,6.302396985
22,0,7.291438396,7.268620359,7.264510412
23,0,7.21215932,7.241212166,7.137609161
24,0,11.24155501,11.24171302,11.23240201
25,0,8.801512277,8.803212885,8.810730703
26,0,11.4084702,11.34805687,11.60515127
27,0,8.134953235,8.082823085,8.10448893
28,0,8.064075738,7.959500503,8.157460342
29,0,10.0433187,10.03162028,10.05294265
30,0,8.604522467,8.508593045,8.590417738
31,0,22.23568602,22.56825282,21.81599772
32,0,10.23729592,10.0887556,10.10571993
33,0,10.54926213,10.41744876,10.48830757
34,0,11.27884209,11.1766612,11.19958991
35,0,9.263537108,9.333235994,9.322649325
36,0,7.200488321,7.126392059,7.11940468
37,0,10.32831086,9.909215401,10.19149734
38,0,8.493017493,8.571802424,8.521869048
39,0,16.15957219,15.94975204,16.36042739
40,0,12.07621929,12.03534465,12.04798951
41,0,6.826683508,6.817784807,6.775469633
42,0,8.742739037,8.959615619,8.638460269
43,0,8.344064553,8.076544469,8.159169331
44,0,7.588576745,7.916797185,7.675498319
45,0,9.051590211,9.19986114,9.130180384
46,0,10.06353897,10.04813045,10.06731032
47,0,7.960563471,7.854428076,7.888670686
48,0,6.594207711,6.630398735,6.55887815
49,0,14.36226361,14.47317607,14.6228573
20,1,7.908084819,7.925396861,7.954647776
21,1,9.134669278,9.22270317,9.43886392
22,1,7.299500006,7.186971459,7.315226821
23,1,10.71464263,10.71081343,10.58894597
24,1,7.132003636,7.137801718,7.13664095
25,1,7.267800418,7.168025894,7.211998143
26,1,13.05587991,13.29171811,13.14897383
27,1,8.491262031,8.391862013,8.628080836
28,1,11.25532821,11.33694098,11.57494173
29,1,7.018811931,6.967240521,7.038873573
30,1,8.512776875,8.320934402,8.517516907
31,1,21.78624455,21.29519653,21.72586262
32,1,9.7759938,9.856660432,9.672463868
33,1,8.92617953,8.782999063,8.895518937
34,1,11.98675621,12.02954811,11.7936669
35,1,8.451152233,8.177168341,8.42471203
36,1,11.25406051,11.14857148,11.14424372
37,1,12.0474527,11.90139736,12.01394297
38,1,7.802406202,8.114240578,7.767461626
39,1,16.94195844,17.30608775,17.21760078
40,1,12.60435019,11.65247757,12.57550867
41,1,6.615582798,6.649297302,6.566032819
42,1,9.793012262,9.555905305,9.855846584
43,1,9.449631736,9.278142594,9.373421136
44,1,8.587621512,8.539849064,8.501563281
45,1,8.950188754,9.109146306,9.030220651
46,1,9.99053013,10.01986561,9.830323368
47,1,9.787386512,9.588662138,9.575989438
48,1,10.3132855,10.32815954,10.17007258
49,1,7.530462103,7.413695029,7.582558686
