Problem,J/I/I,1/I,ExpVar
20,5.16027464,5.169100835,5.201196677
21,5.357585084,5.360984512,5.419561619
22,5.568571459,5.54409337,5.502859473
23,4.448179486,4.44667894,4.422223023
24,7.515562214,7.506503063,7.445604852
25,6.207335999,6.202626917,6.278378261
26,5.160026225,5.163807322,5.206159659
27,9.220468281,9.237032075,9.181262942
28,5.545084117,5.547518777,5.495844436
29,4.857754291,4.876060306,4.908041066
30,5.702682201,5.7139283,5.71517541
31,5.86932044,5.867961911,5.926502513
32,5.563402972,5.58363685,5.572337795
33,5.21685525,5.212582688,5.144220458
34,6.436607008,6.425383024,6.421586746
35,5.405636778,5.38730477,5.363922262
36,5.313080416,5.319488129,5.281675754
37,7.410894702,7.437137603,7.35707246
38,5.137446231,5.13386526,5.170635377
39,5.556196943,5.549098738,5.546363419
40,5.354086279,5.332621627,5.309126459
41,5.221380683,5.232506154,5.23166567
42,4.666495266,4.678528878,4.666141169
43,5.709282189,5.694661538,5.640185096
44,20.70799536,20.85699601,21.1415363
45,5.331696153,5.35633514,5.360127175
46,5.422177604,5.432167548,5.430755104
47,9.618402859,9.630140909,9.744242779
48,5.187791674,5.202843851,5.163493792
49,9.934021098,9.816054807,9.880064687
