Problem,Dim,J/I/I,1/I,ExpVar
30,0,35.9622993,35.32377337,36.57595411
30,1,51.20206691,52.20312775,50.49582839
30,2,57.47282632,59.82443475,58.61276805
31,0,6.809688747,6.802440962,6.740519156
31,1,7.12577032,7.080093774,7.073778339
31,2,8.74816319,8.811710942,8.787562433
32,0,7.750829852,7.705015915,7.6444636
32,1,8.605942756,8.693176168,8.657484724
32,2,11.57135797,11.56307281,11.4001702
33,0,29.18513364,28.10589439,28.524134
33,1,20.43136367,20.29256757,20.20147268
33,2,25.51958686,25.74984391,25.09203025
34,0,7.107020354,7.078617066,7.036406739
34,1,10.12023199,10.20046041,10.1449139
34,2,7.796432343,7.929599985,7.775612041
35,0,7.002151739,7.100749848,7.083819527
35,1,9.403515066,9.428640291,9.529182121
35,2,7.339239641,7.426785597,7.293663768
36,0,15.56797442,15.79369389,15.99428979
36,1,18.14026963,19.31134673,18.13660912
36,2,19.04171302,19.44594227,18.98566284
37,0,14.13481285,13.82247672,14.56531379
37,1,14.36945281,13.87118538,14.79062965
37,2,13.56059426,12.60719535,13.62127019
38,0,11.93253035,12.0391629,11.74881851
38,1,12.8728079,12.67023536,12.89930175
38,2,12.39129986,12.4825968,12.36225773
39,0,10.23022196,10.14779942,10.05558096
39,1,8.396253314,8.48368926,8.330181547
39,2,8.204663418,8.077343602,8.094683177
40,0,7.129536582,7.097770548,7.129351787
40,1,7.811889146,7.825166137,7.89377645
40,2,9.859868429,9.865879376,9.911968436
41,0,8.561932861,8.612581482,8.453169166
41,1,7.938956897,7.937025493,7.920949537
41,2,7.641969457,7.651579197,7.472564124
42,0,11.86702554,11.7840323,11.98680771
42,1,11.27586764,11.11113751,11.25327371
42,2,10.91459463,11.1642455,10.8852036
43,0,8.978185659,9.203313045,8.88777514
43,1,9.542281142,9.607948175,9.34406328
43,2,9.390426963,9.546544867,9.276425024
44,0,12.05344687,11.93309951,12.00156313
44,1,8.631372052,8.687197156,8.68622448
44,2,8.362210163,8.127635335,8.281181404
45,0,8.487818756,8.454269714,8.491186849
45,1,7.774273985,7.68574904,7.807430782
45,2,7.833658892,7.644208981,7.86652179
46,0,6.71362371,6.685868287,6.667108058
46,1,9.041763915,9.058877542,9.065736219
46,2,7.251694149,7.432539708,7.111064239
47,0,11.89527825,12.12056481,12.17410174
47,1,7.756660009,7.788005331,7.722896058
47,2,7.923823684,7.825460817,7.829577995
48,0,9.584440348,9.053812563,9.379522187
48,1,10.01882902,9.689749532,10.0939128
48,2,9.885160271,9.452313128,9.646722876
49,0,13.23302081,13.1387335,13.183397
49,1,13.75951464,13.82488809,13.69964023
49,2,13.02193323,13.2040225,13.07800883
