Problem,J/I/I,1/I,ExpVar
30,5.979232802,5.954467703,6.040920108
31,7.913624322,7.907368748,7.864817743
32,5.01704165,5.025381725,4.957743221
33,8.363640758,8.348475511,8.323817018
34,4.90705361,4.894012279,4.909567116
35,4.987466129,4.967032096,4.947654826
36,4.97638028,4.990661928,5.005425324
37,5.654435065,5.64963089,5.739563333
38,104.8680328,104.5866707,108.3165685
39,4.794044768,4.787848468,4.780738862
40,5.344175766,5.348131361,5.322492407
41,4.77132627,4.772214294,4.761154877
42,6.478207417,6.435493699,6.465435997
43,5.121090158,5.105670665,5.08982657
44,5.521749427,5.517690884,5.519505441
45,5.005166461,4.989353053,4.999464727
46,6.659532487,6.655315694,6.716251998
47,6.354992527,6.358484671,6.322834055
48,4.878875435,4.869889557,4.882750824
49,6.658680558,6.612649202,6.754914014
